system_id,word,ner
1,聯合報,ORG
1,黃國樑,PERSON
1,台北,GPE
1,今天,DATE
1,中華經濟研究院東南亞國協研究中心,ORG
1,徐遵慈,PERSON
1,ＲＣＥＰ,ORG
1,台灣,GPE
1,中國大陸,GPE
1,日本,GPE
1,台灣,GPE
1,ＲＣＥＰ,ORG
1,台,GPE
1,台灣,GPE
1,ＲＣＥＰ,ORG
1,月日,DATE
1,十個,CARDINAL
1,韓國,GPE
1,二月日,DATE
1,馬來西亞印尼緬甸,GPE
1,菲律賓,GPE
1,東協,ORG
1,四,CARDINAL
1,徐遵慈,PERSON
1,ＲＣＥＰ,ORG
1,台灣,GPE
1,ＲＣＥＰ,ORG
1,三,CARDINAL
1,ＲＣＥＰ,ORG
1,第二,ORDINAL
1,十年內,DATE
1,第三,ORDINAL
1,十年以上,DATE
1,台灣,GPE
1,東南亞,LOC
1,ＲＣＥＰ,ORG
1,台灣,GPE
1,兩,CARDINAL
1,徐遵慈,PERSON
1,ＲＣＥＰ,ORG
1,日本,GPE
1,中國大陸,GPE
1,台灣,GPE
1,大陸,GPE
1,中國大陸,GPE
1,日,GPE
1,台灣,GPE
1,日本,GPE
1,第二,ORDINAL
1,ＲＣＥＰ,ORG
1,三,CARDINAL
1,台灣,GPE
1,徐遵慈,PERSON
1,東南亞,LOC
1,中,GPE
1,日,GPE
1,八十六,CARDINAL
1,第年,DATE
1,大陸,GPE
1,日本,GPE
1,二四．九,CARDINAL
1,日本,GPE
1,中國大陸,GPE
1,五五．五,CARDINAL
1,中,GPE
1,日,GPE
1,韓,GPE
1,大陸,GPE
1,十五年,DATE
1,日本,GPE
1,第十六年,DATE
1,台灣,GPE
1,徐遵慈,PERSON
1,ＲＣＥＰ,ORG
1,台灣,GPE
1,東南亞,LOC
1,大陸,GPE
1,ＲＣＥＰ,ORG
1,中國,GPE
1,日本,GPE
1,東協,ORG
1,台灣,GPE
1,日本,GPE
1,中國,GPE
1,中國,GPE
1,日本,GPE
1,台灣,GPE
2,壬寅年,DATE
2,聯合報,ORG
2,陳宏睿,PERSON
2,台中,GPE
2,台灣,GPE
2,楊登嵙,PERSON
2,壬寅年,DATE
2,台中市名門命理教育協會,ORG
2,楊登嵙,PERSON
2,年歲次,DATE
2,壬寅年,DATE
2,非洲,GPE
2,去年,DATE
2,楊登嵙,PERSON
2,中,GPE
2,這幾年,DATE
2,美國,GPE
2,統拜,PERSON
2,今年,DATE
2,第六,ORDINAL
2,第三,ORDINAL
2,明天,DATE
2,第盤,ORDINAL
