system_id,sentence
1,原文標題
1,今生效陸日互降稅衝擊我高科技產品
1,原文連結
1,///
1,發布時間
1,/
1,聯合報記者黃國樑台北報導
1,原文內容
1,區域全面經濟夥伴協定ＲＣＥＰ今天生效，中華經濟研究院東南亞國協研究中心主任徐遵慈指出，ＲＣＥＰ對台灣的衝擊，主要集中於中國大陸與日本首度相互降稅後，將對台灣形成產品競爭壓力
1,此外，ＲＣＥＰ新增了些東協加加三等ＦＴＡ所沒有的降稅項目，也將對台形成衝擊，包括台灣也在大力發展的電動車相關產品與零組件
1,ＲＣＥＰ在月日生效的成員共有十個，韓國預計二月日生效，尚未在內部完成批准程序的是馬來西亞印尼緬甸與菲律賓等東協四國，預計也會很快完成
1,徐遵慈認為，ＲＣＥＰ生效後對台灣的衝擊還不會立即顯現，主要是因為ＲＣＥＰ的降稅項目分成三類，第類是ＲＣＥＰ生效後立即降至零關稅第二類是生效後十年內逐漸完成降稅第三類是超過十年以上完成降稅，且台灣廠商為因應衝擊，早已到東南亞投資布局，但ＲＣＥＰ對台灣的負面影響主要在兩個層面
1,徐遵慈指出，第個層面是，過去中日間沒有任何ＦＴＡ，如今將因ＲＣＥＰ相互降稅，日本產品進入中國大陸零關稅，對台灣輸出大陸的同類產品形成衝擊，這主要集中在並不享有零關稅待遇的資通訊以外的高科技產品
1,中國大陸對日輸出產品也會與台灣輸往日本的同類產品造成威脅
1,第二個層面則是ＲＣＥＰ新增東協加加三沒有的降稅項目，最明顯的就是電動車的各項組件，以及ＲＣＥＰ在電子商務海關通關與貿易便捷化三個專章的非關稅措施，也將形成對台灣相關產品與商務在時間成本上的競爭壓力
1,徐遵慈表示，東南亞暨東亞經濟研究院分析，ＲＣＥＰ將促使中日互相調降八十六的產品關稅至零
1,ＲＣＥＰ生效後第年，大陸自日本進口產品將有約二四．九的關稅會調降至零，而日本自中國大陸進口產品則有高達五五．五的關稅會降到零
1,她指出，近年中日韓都將發展電動車產業列為優先項目，大陸將在十五年內逐漸調降馬達蓄電池零件鋼鐵製品等關稅，日本雖承諾汽車產品立即調降關稅，但對電動車採取保護措施，像電池零件關稅要在ＲＣＥＰ生效第十六年廢除
1,這些降稅計畫對也在積極發展電動車產業的台灣，仍將產生定衝擊
1,徐遵慈表示，ＲＣＥＰ對台灣還是有正面影響，先前因東協加等ＦＴＡ實施，已在東南亞國家甚至仍在大陸投資設廠的台商，將因ＲＣＥＰ生效受益，開始享有更便捷服務並享受降稅利益，包括台商從中國輸出到日本的產品也將享有零關稅
1,不過，享有好處的同時也面臨更大的競爭，像在東協國家設廠的台商企業，可能也將面臨轉往東協國家設廠的陸資企業競爭
1,心得/評論
1,將會衝擊台灣本地的高科技零組件，其中日本輸往中國以及中國輸往日本的零組件產品有高度重疊，協議生效後給台灣帶來的衝擊可能是讓本土供應鏈因關稅壓力外移
2,原文標題
2,壬寅年想布局台股
2,民俗專家
2,金水類股
2,可逢低接
2,原文連結
2,//////
2,發布時間
2,聯合報/記者陳宏睿台中即時報導
2,原文內容
2,年台股交易熱絡，不少股民滿載而歸，展望年，疫情是否會繼續影響全球台灣
2,，台股是否適合再進場，民俗專家楊登嵙說，
2,年是壬寅年水虎年
2,，
2,，若要投資股市，
2,可選金水相關類股
2,，例如汽車電子水資源回收設備等，都可逢低承接
2,台中市名門命理教育協會創會理事長楊登嵙說，年歲次是壬寅年水虎年，水為流行
2,疫情，寅為木為生物病菌病毒，水生木，流行疫情要小心應對，小心發不可收拾，
2,另外，動物引發的流行疫情也要小心預防，
2,例如新冠肺炎非洲豬瘟口蹄疫流感禽
2,流感等，地震發生次數可能比去年增加
2,楊登嵙說，年中美貿易大戰開打久久未停歇，影響這幾年世界經濟甚大，美國新任總
2,統拜登上任後進入新回合，動作頻頻但不劇烈，但由於今年新冠肺炎疫情無法很快停息，
2,經濟景氣已到達谷底而趨緩上升，但反彈力道疲軟，投資股票宜保本穩定期貨要小心謹
2,慎，步步為營
2,經濟回穩但仍不強勁，不動產熱絡持平，政府有打房政策，無上升力道，
2,附近有重大建設除外
2,他建議，
2,若要投資股市，金水相關類股不錯
2,，可逢低承接，
2,金
2,相關類股包括汽車電子
2,電動車機器人自動化設備鋼鐵矽晶圓與電子零件鋼鐵區塊鏈金融電
2,子貴金屬回收相關設備
2,與
2,相關的類股則是第六代無線通訊網通水資源
2,回收設備第三方支付金流與資訊軟體航運預防醫學等
2,心得/評論※必需填寫滿字
2,明天就是第盤了
2,最後歡樂新聞下
2,這也行啊
2,民俗專家也可以推薦金水股
2,金水股
2,範圍也太大了吧
2,認真地要扯什麼都可以扯上阿
2,為什麼跟是水類股阿
3,永豐平台投資美股門檻降到千元新台幣
3,////
3,工商魏喬怡
3,挑戰市場投資美股最低門檻
3,永豐銀行日宣布，首創平台新台幣
3,元即可投資美國股市逾檔精選標的，協助小資族群累積財富
3,永豐銀行財富金融處處長
3,徐德里表示，永豐銀行致力提供貼近消費者需求的個人服務以實現普惠金融，只要到
3,平台開立信託帳戶後，線上設定標的金額及扣款日期等步驟，結合股權分
3,割技術，小資族群元即可定期定額參與美股市場
3,根據統計，單月定期定額投資台股金額近億元續創新高
3,同時，海外複委託開戶數達
3,萬，年前月累積成交逾兆元
3,徐德里表示，定期定額投資股市以及海外投資的
