system_id,artTitle,artUrl,artDate,artCatagory,artContent,dataSource
1,這檔股票漲幅逾4成 台股封關秀外資也買超它｜東森新聞,https://news.ebc.net.tw/news/article/398813,2024-01-01 13:13:00,財經,"台股2023年封關秀精彩！外資買超前三為台積電、奇鋐、緯創，生技美時掛帥，中租-KY也躋進前20名榜單，明天新年第一天開市，市場蓄勢待發衝破萬八。根據證交所統計，台股2023全年外資及陸資總買入21.22兆億元，總賣出20.94兆億元，累計買超2,754.50億元，超越疫情前2019紀錄。2023年12月29日台股加權股價指數收盤17,930.81點，與去年底14,137.69點上漲3,793.12點，漲幅約為26.83％；全年最高收盤指數為12月29日的17,930.81點，最低收盤指數為1月4日的14,199.13點。2023年全年集中市場累計總成交67.20兆億元，較去年全年的59.57兆億元，增加7.63兆億元；至年底的上市股票總市值為56.84兆億元，較去年底的44.27兆億元，一整年下來增加了12.58兆億元。從CMoney統計12月29日資料來看，外資買超前20名為台積電、奇鋐、緯創、廣達、大立光、鴻海、亞翔、美時、智原、華通、勤誠、南電、宏碁、愛普、創意、力旺、威盛、中租-KY、聯詠、欣興。金控股買超13家，以玉山金居多，其次依序為元大金、開發金、永豐金、台新金、國泰金、富邦金、國票金、華南金、兆豐金、第一金、新光金與合庫金。永豐投顧分析，台股內部細微的表現則與過去有所不同，12月台股獨領風騷的類股換成運輸股，特別是被人遺忘的航海王，突然又因為以巴衝突衍生出紅海航線的危險，導致航路繞行好望角，短期間的運價波動給了蟄伏已久的海運業者翻身的機會，長榮漲幅達到3成，陽明、萬海緊隨其後。電子股方面也是落後者奮起，漲幅最大的是電腦及周邊類股，AI股從9月歷經三個多月的盤整，12月藉著AIPC的題材重現熱點，不過市場選擇的是過去沒漲、籌碼穩定的個股，宏碁一年不開張、開張吃一年，一個月漲超過4成，仁寶大漲26％。文章來源：這檔「一年不開張、開張吃一年」漲幅逾4成台股封關秀外資也買超它由CTWANT授權轉載。",EBC
2,Apple Pay狂跳「信用卡即將到期」 網哀號：時間還沒到｜東森新聞,https://news.ebc.net.tw/news/article/398817,2024-01-01 13:43:00,財經,近期有網友表示，自己的ApplePay出現奇怪的問題，明明綁定的信用卡還沒到期，但是ApplePay卻一直顯示「即將到期」而無法使用，不少網友也表示自己有遇到類似的事情。有網友在PTTiOS板發文，內容中表示自己在31日使用ApplePay購物的時候，ApplePay一直顯示「信用卡即將到期」，然後要求他更新信用卡資訊。而他依據要求更新了帳單地址等相關資訊後，ApplePay還是無法使用。而該名網友也強調，自己使用的信用卡要到2028年4月才到期。文章曝光後，不少PTT網友都留言表示自己也有遇到類似的情況，其中包含國泰世華、匯豐、聯邦、台新等銀行的用戶，看起來似乎並非是針對特定銀行出現的問題。而也有網友分享自己的解法，像是臨時添加其他卡片來使用，或是移除掉出問題的卡片，重新添加後就可以正常使用。而截至目前為止，尚不清楚該問題是如何出現，也不清楚官方要何時才會修正這個問題。文章來源：明明時間還沒到！ApplePay狂跳「信用卡即將到期」網友哀號：無法付款由CTWANT授權轉載。,EBC
3,每人最高拿10萬！勞工紓困貸款1/5起可申請｜東森新聞,https://news.ebc.net.tw/news/article/398945,2024-01-02 11:28:00,財經,2024勞工紓困貸款將於1月5日起跑，每人最高可貸10萬，申請期間僅兩周，1月19日截止。銀行指出，經勞保局核准後7個營業日內撥款到帳戶。絶大多數申請人皆可於農曆年前入帳幫助手頭緊的民眾度過難關，貸款期間為3年，前6個月按月付息不還本，自第7個月起按月平均攤還本息。舉例來說，如果借款10萬元，按目前利率前6個月每月需繳利息170元，自第7個月開始每月繳本息3422元，提醒民眾留意。而申請勞工紓困貸款的條件包括參加勞保年資滿15年以上，無欠繳勞保費及滯納金，以及未曾借貸勞保紓困貸款或曾借貸已繳清等條件，滿足3資格即可申請貸款。,EBC
4,台積電最高位女將進董事會呼聲高 何麗梅成總座大熱門｜東森新聞,https://news.ebc.net.tw/news/article/399081,2024-01-03 10:28:00,財經,台積電人力資源副總經理何麗梅，傳出被提名加入董事會的機率很高，由於何麗梅深受張忠謀信任，又有財務、業務以及人資等跨部門的豐富經歷，擔任中國南京廠董事長期間，還繳出建廠速度和獲利最快的成績單，未來有機會成為第一位護國神山的女性總經理。「KC（陳國慈）已經回香港了，現在大多數時間都在香港，家人也都在香港，她已經77歲早就向台積電表明要退休，在台灣的事業也陸續結束，確定將不再擔任台積電獨立董事。」知情人士透露：「在劉德音和陳國慈退休，政府又要求改革萬年獨立董事的情形下，台積電董事會將有新面孔。」鏡週刊調查，不只劉德音和陳國慈將辦理退休，台積電最資深的董事曾繁城也可能不會續任董事。其實他曾對外表示自己是半退休狀態，常常去爬山，已登過52座的台灣百岳。在劉德音等人退休後，誰將遞補成為台積電下一屆董事會成員？前外資半導體業分析師、聚芯資本管理合夥人陳慧明認為，台積電人力資源資深副總經理何麗梅很有機會。不願具名的台積電主管也表示：「Lora（何麗梅）是很好的人選，她是台積電當中，少數沒有出國留學的高層主管，非常特別。Lora從台大EMBA畢業的時候，Morris（張忠謀）還特地出席，甚至還在畢業典禮上致詞，張忠謀擔任董事長的時候面對外資法人提問，也經常轉頭詢問何麗梅意見，或是由她補充回答，對她很信任。」此外，台積電前往中國南京設廠時，張忠謀指派與南京市政府簽約的代表，就是何麗梅。南京廠開幕時，上台致詞的，也是當時財務長兼南京廠董事長的她。實際上，台積電南京廠量產後的隔年就賺錢，不但建廠的速度最快，賺錢也最快，創下台積電海外廠的最佳紀錄。在台積電的官方網站和年報當中，何麗梅是僅次於劉德音和魏哲家的第三號人物，同時還是8名資深副總裡面唯一的女性，在台積電歷任財務長兼發言人、歐亞業務資深副總經理、企業永續委員會（ESG）主席等職位，這些跨部門的豐富經歷和有同理心的人格特質，讓她不但很可能是新董事，未來也有機會在經營團隊中更上一層樓，接下營運管理重責大任的總經理一職。知情人士透露：「這次董事會改組具有世代交替、經驗傳承的意義，在改選前一年就已經諮詢董事們是否續任的意見，接著決定新董事名單，並介紹新董事給董事會及熟悉業務。何麗梅在台積電的經歷與表現，是各方都可以信任的人選，她能跨出財務部門領域，關鍵就在魏哲家看上她對客戶有同理心的特質，這個優點甚至蓋過她沒有技術背景的缺點。」更多鏡週刊報導【全文】劉德音退休揭開改組序幕魏哲家上位台積電董事會換血【台積改組內幕3】不畏景氣逆風借錢買股挺台積魏哲家神操作獲利咋舌【台積改組內幕4】台積外派第一志願變成屎缺美國廠變錢坑考驗魏哲家,EBC
5,東區新店王藏地下室！ 量販店50萬月租包樓｜東森新聞,https://news.ebc.net.tw/news/article/399115,2024-01-03 15:32:00,財經,地上看一間店面的大小，走下去竟是496坪的超大地下室，再看看附近住家林立不乏多家便利超商，就是在這生活機能充足的地方，知名量販店選址金商圈東區仁愛路，竟然以月租金50萬，躍升一級商圈新店王。量販店大動作進駐，看準的就是超大地下室規格，和東區附近的龐大人流即便是下雨天附近依舊有些許人流，據傳該量販店12月中進駐，且是24小時營業便利性高，而量販店進駐500坪的地下室，換算單坪是1008元，會選擇地下室就是因為，東區地面租金單坪通常上看4000-5000不等，若是門牌店面更可破上萬元，算下來差了至少四倍成本驚人。房市專家陳炳辰：「地下室的物件，他常常會是在市場上，比較屬於燙手山芋的一種產品，因為他其實在，廣告招牌的顯眼度，會不及1樓內，部像是通風上面的設備，可能都會相較比起，1樓可能更費工。」其實各大量販店開在地下室，早已經是台北市區常態，專家分析台市商圈地下室，因為坪數大受眾少出租難免受限，房東為了出租通常願意開低至少5到6折租金，而且不分區域，單坪租金都落在1000-1300不等。房市專家陳炳辰：「地下室他本來發揮上面，就不比1樓，所以在這樣的狀態之下，他的租金起伏性，並沒有這麼大，比方一線行商圈，他可能大概落在，三到四千一坪左右，甚至更低的價位。」畢竟地下室坪數大，本就出租困難，也只有這種大型量販店，才有需求且能高價租金，當然就成為房東們另類的金雞母。,EBC
6,他4年狠砸30億 就是要Apple Watch停售｜東森新聞,https://news.ebc.net.tw/news/article/399128,2024-01-03 15:28:00,財經,蘋果旗下的智慧型手錶AppleWatch，在2023年底遭法院判決侵權成立，AppleWatchUltra2、AppleWatchSeries9兩款型號遭到停售，雖然後續蘋果再次提出上訴，讓2款手錶還能短暫販售，而這一切都與4年內狠砸1億美元（折合新台幣約30億元）起訴蘋果侵權的醫療科技公司Masimo執行長基亞尼（JoeKiani）有關。根據外媒報導指出，蘋果自2020年開始在AppleWatch上加入血氧監測技術後，就遭到美國醫療科技公司Masimo的提告。Masimo認為，蘋果在AppleWatch上所使用的血氧監測技術，已經侵害到自家所擁有的光學是血氧監測技術。之後美國國際貿易委員會(ITC)於10月26日發布命令，裁定蘋果侵權行為成立，必須停止銷售AppleWatchUltra2、AppleWatchSeries9。但這項禁售令僅侷限在蘋果本身，一些第三方通路或其他有庫存的店面，依舊可以繼續銷售AppleWatchUltra2、AppleWatchSeries9，直到手邊的庫存用罄為止。後續美國白宮在審議期間內並未駁回禁售令的判決，所以蘋果於2023年12月27日再次提出上訴，這才讓AppleWatchUltra2、AppleWatchSeries9得以短暫進行銷售。醫療科技公司Masimo執行長基亞尼（JoeKiani）受訪時表示，在這4年內，他光是在與蘋果的訴訟上就花了1億美元，而Masimo其實在2022年的總獲利也才1.44億美元。基亞尼表示，其實在對蘋果提出侵權訴訟前，不少人都阻止他，認為根本無法在司法上贏過蘋果，但報導中也指出，其實Masimo過去就有豐富的專利侵權訴訟經驗，2006年時與另外一家血氧儀設備廠商的專利訴訟獲勝，Masimo獲得近8億美元的賠償與專利使用費。2016年時，Masimo又對皇家飛利浦提出侵權訴訟，後續皇家飛利浦以3億美元與Masimo達成和解。基亞尼表示，是否能與蘋果達成和解，他抱持著開放的態度，但截至目前為止，蘋果尚未與Masimo展開「正式的和解」討論。基亞尼也強調，他會持續與蘋果訴訟到底，更表示「如果我能做到（告贏蘋果），或許會成為讓蘋果變得更好的契機」。,EBC
7,名人森論題》謝金河／失去台灣美國霸權將終結｜東森新聞,https://news.ebc.net.tw/news/article/399136,2024-01-03 16:01:00,財經,文／謝金河(財信傳媒董事長、財訊社長兼發行人)這世界可能沒有一個地方是絕對安全的！過去三年，每年年初，經濟學人雜誌最喜歡說台灣是地表上最危險的地方，外資也因為這樣的訊息，連續三年大賣超台股2.2259兆台幣。不過，戰爭沒有在台灣發生，反而先在烏克蘭，以色列！俄羅斯入侵烏克蘭，再過一個月就滿兩年，本來大家以為這是速戰速決，三天就解決的戰事，已經持續近兩年，雙方仍在僵持中。而哈瑪斯突擊以色列，本來大家以為以色列科技很先進，武器裝備精良，哈瑪斯很快就殲滅，結果戰爭持續三個月，以色列預告戰爭會持續很久。看起來，現代化的戰爭，不是大國能予取予求，很可能陷入持久的消耗戰，最後耗竭國力。不過集權獨裁領袖對戰爭樂此不疲，因為這是他們掌握權力的必要手段。最近朝鮮領導人金正恩又跳出來恐嚇，要求三軍動員，準備對南韓展開軍事行動！金正恩批評南韓是美國的殖民地，南北韓永不統一！發展核武，飛彈試射，已經成為金正恩霸權利器。經濟學人一再強調台灣危險，其實，南北韓只隔38度線，雙方只有一線之隔，台灣海峽至少135公里，有天險可以守。而南海的情勢，菲律賓首當其衝，中菲船艦經常互撞單挑，危機四伏。日本常說，台灣有事，日本有事！其實中日有百年宿仇，台灣和中國只有主權爭議，日本絕對比台灣危險。而台灣在地緣政治的重要性，明居正教授說得最好！他說失去烏克蘭，美國面子難看，失去台灣，美國霸權終結，這也是台灣經常處在浪尖的關鍵！世界紛爭不斷，沒有任何地方是絕對安全的，只有加強自身的防衛實力才是上策！,EBC
8,是你嗎？7張千萬發票未領獎 中獎清冊一次看｜東森新聞,https://news.ebc.net.tw/news/article/399232,2024-01-04 10:55:00,財經,拿出發票對獎囉！新的一年別讓千萬大獎在眼前溜走，112年7、8月統一發票最後兌獎時間於本週五（1月5日）截止，目前還有7張千萬發票未領獎，其中最低消費金額為26元飲品，地點位於新竹陽明交大的7-ELEVEn，此外還有民眾人品大爆發，SKODA車廠員工領630元工資也可以幸運中獎。另外還有5張200萬元特別獎也無人領，財政部表示，雖然還有今明（4日、5日）2天可兌領，但以金融機構每日營業6.5小時計算，實際上剩沒幾個小時能兌領，提醒民眾千萬別錯過。,EBC
9,日圓升息前出現甜甜價 跌破0.22大關！｜東森新聞,https://news.ebc.net.tw/news/article/399277,2024-01-04 15:18:00,財經,在投資者評估日本元旦強震，以及日本央行2024年扭轉寬鬆貨幣政策之際，受惠於新台幣跌幅收斂、日圓升勢轉弱，台銀今（4日）中午日圓現鈔賣出價格再次跌破0.22大關，因此現在若以10萬元新台幣換匯，會比去年同期相比多換到近4萬日圓。2023年1月日圓現鈔匯出牌告賣出價最高來到0.2405，10萬元新台幣只能換到41萬5800日圓，但是今天（2024年1月4日）因牌告價來到0.2199，10萬元新台幣可換到45萬4752日圓，等於多換3萬8952日圓。匯市交易員指出，日圓雖然在2023年12月中旬一度走弱，但市場隨後預期日本央行及美國聯準會（Fed）即將在2024年扭轉政策分歧，因此為日圓提供了一些支撐，匯率由跌轉升，大概在去年12月中旬後就很少看到台銀日圓現鈔牌告價低於0.22的行情。所以今天算是睽違半個月後再看到這種甜價，提醒民眾如果農曆年有意出國赴日，不妨考慮在今天酌量進場。週一日本發生7.6強震後，市場的初步反應在日本央行政策立場轉向鷹派的預期中迅速消退。預計日本央行將在3月的年度薪資談判之後，於4月退出其超寬鬆貨幣政策，但也不能排除1月就提早採取此措施的可能性。與此同時，市場普遍預期聯準會最快將於3月開始降息，並在年底前累積降息150個基點（1.5％）。台北外匯市場新台幣兌美元今天中午暫收31.045元，貶3.5分，成交金額4.7億美元。日圓則在142至143左右價位表現，在此之前有分析師認為日圓2024年匯價將要挑戰124至130的水準，日圓一度強彈，但受美元降息幅度恐限縮的影響，升幅略微降溫。由CTWANT授權轉載。,EBC
10,新一波通膨危機？中東緊張！國際油價跳漲逾3％｜東森新聞,https://news.ebc.net.tw/news/article/399295,2024-01-04 16:11:00,財經,爆炸聲響起，民眾嚇得驚聲尖叫、四處逃竄，救護車鳴笛進入爆炸區，準備救出民眾，不過逃難的人太多，需要人員引道才能通過。伊朗3日驚傳發生連環爆炸案，而現在美國高官認為，這疑似就是ISIS恐攻。CNN記者：「伊朗官方媒體，引述官員所說表示，這起爆炸案是恐怖攻擊，但緊張局勢四處蔓延該地區。」中東緊張情勢升高，不只伊朗，OPEC成員國利比亞最大油田沙拉拉，也因受抗議干擾而停產，種種消息讓國際油價雙雙漲超過3％，3月到期的布蘭特原油期貨，上漲3.19％至每桶78.31美元，2月到期的西德州原油期貨，上漲3.52％至每桶72.86美元。Yahoo財經主播InesFerre：「今天我們看到油價，飆升超過3％，是因為每天生產30萬桶原油的，利比亞油田受到抗議干擾，而中斷油田生產。」紅海危機不停擴大，更推升油價恐怕再漲15％，能源專家就跳出來警告，儘管美國領導的安全特遣隊，已經進入該地區，但是還是存在一定危機，若中東緊張局勢進一步惡化，至少需要計入12美元的地緣政治風險，也代表油價可能會升至90美元。Yahoo財經主播InesFerre：「伊朗派遣一艘軍艦進入紅海，這導致油價走高，但伴隨著昨天的攻擊，今天我們看到石油價格再次跳漲，因此附近地區，許多不確定性安全問題，會使油價升高。」油價漲勢短期看不到盡頭，現在就怕會引爆新一波通膨危機來襲。,EBC
